,axis_1,axis_2
7x15,14,8
7x16,15,8
7x17,16,8
7x18,17,8
8x13,12,9
8x14,13,9
8x15,14,9
8x16,15,9
8x17,16,9
8x18,17,9
8x19,18,9
9x13,12,10
9x14,13,10
9x15,14,10
9x16,15,10
9x17,16,10
9x18,17,10
10x13,12,11
10x15,14,11
10x16,15,11
10x17,16,11
10x18,17,11
11x12,11,12
11x13,12,12
11x14,13,12
11x15,14,12
11x16,15,12
11x17,16,12
12x12,11,13
12x13,12,13
12x14,13,13
12x15,14,13
12x16,15,13
12x17,16,13
13x11,10,14
13x12,11,14
13x13,12,14
13x14,13,14
13x15,14,14
13x16,15,14
13x17,16,14
13x18,17,14
14x7,6,15
14x8,7,15
14x9,8,15
14x10,9,15
14x11,10,15
14x12,11,15
14x13,12,15
14x14,13,15
14x15,14,15
14x16,15,15
14x17,16,15
14x18,17,15
15x5,4,16
15x6,5,16
15x7,6,16
15x8,7,16
15x9,8,16
15x10,9,16
15x11,10,16
15x12,11,16
15x13,12,16
15x14,13,16
15x15,14,16
15x16,15,16
15x17,16,16
15x18,17,16
16x3,2,17
16x4,3,17
16x5,4,17
16x6,5,17
16x7,6,17
16x8,7,17
16x9,8,17
16x10,9,17
16x11,10,17
16x12,11,17
16x13,12,17
16x14,13,17
16x15,14,17
16x16,15,17
16x17,16,17
16x18,17,17
16x19,18,17
17x4,3,18
17x5,4,18
17x6,5,18
17x7,6,18
17x8,7,18
17x9,8,18
17x10,9,18
17x11,10,18
17x12,11,18
17x13,12,18
17x14,13,18
17x15,14,18
17x16,15,18
17x17,16,18
17x18,17,18
17x19,18,18
17x20,19,18
17x21,20,18
18x4,3,19
18x5,4,19
18x6,5,19
18x7,6,19
18x8,7,19
18x9,8,19
18x10,9,19
18x11,10,19
18x12,11,19
18x13,12,19
18x14,13,19
18x15,14,19
18x16,15,19
18x17,16,19
18x18,17,19
18x19,18,19
18x20,19,19
18x21,20,19
18x22,21,19
18x23,22,19
18x24,23,19
19x4,3,20
19x5,4,20
19x6,5,20
19x7,6,20
19x8,7,20
19x9,8,20
19x10,9,20
19x11,10,20
19x12,11,20
19x13,12,20
19x14,13,20
19x15,14,20
19x16,15,20
19x17,16,20
19x18,17,20
19x19,18,20
19x20,19,20
19x21,20,20
19x22,21,20
19x23,22,20
19x24,23,20
19x25,24,20
19x26,25,20
19x27,26,20
19x28,27,20
20x5,4,21
20x6,5,21
20x7,6,21
20x8,7,21
20x9,8,21
20x10,9,21
20x11,10,21
20x12,11,21
20x13,12,21
20x14,13,21
20x15,14,21
20x16,15,21
20x17,16,21
20x18,17,21
20x19,18,21
20x20,19,21
20x21,20,21
20x22,21,21
20x23,22,21
20x24,23,21
20x25,24,21
20x26,25,21
20x27,26,21
20x28,27,21
21x6,5,22
21x7,6,22
21x8,7,22
21x9,8,22
21x10,9,22
21x11,10,22
21x12,11,22
21x13,12,22
21x14,13,22
21x15,14,22
21x16,15,22
21x17,16,22
21x18,17,22
21x19,18,22
21x20,19,22
21x21,20,22
21x22,21,22
21x23,22,22
21x24,23,22
21x25,24,22
21x26,25,22
21x27,26,22
21x28,27,22
22x6,5,23
22x7,6,23
22x8,7,23
22x9,8,23
22x10,9,23
22x11,10,23
22x12,11,23
22x13,12,23
22x14,13,23
22x15,14,23
22x16,15,23
22x17,16,23
22x18,17,23
22x19,18,23
22x20,19,23
22x21,20,23
22x22,21,23
22x23,22,23
22x24,23,23
22x25,24,23
22x26,25,23
22x27,26,23
23x7,6,24
23x8,7,24
23x9,8,24
23x10,9,24
23x11,10,24
23x12,11,24
23x13,12,24
23x14,13,24
23x15,14,24
23x16,15,24
23x17,16,24
23x18,17,24
23x19,18,24
23x20,19,24
23x21,20,24
23x22,21,24
23x23,22,24
23x24,23,24
23x25,24,24
23x26,25,24
24x8,7,25
24x9,8,25
24x10,9,25
24x11,10,25
24x12,11,25
24x13,12,25
24x14,13,25
24x15,14,25
24x16,15,25
24x17,16,25
24x18,17,25
24x19,18,25
24x20,19,25
24x21,20,25
24x22,21,25
24x23,22,25
24x24,23,25
24x25,24,25
25x9,8,26
25x10,9,26
25x11,10,26
25x12,11,26
25x13,12,26
25x14,13,26
25x15,14,26
25x16,15,26
25x17,16,26
25x18,17,26
25x19,18,26
25x20,19,26
25x21,20,26
25x22,21,26
25x23,22,26
25x24,23,26
26x11,10,27
26x12,11,27
26x13,12,27
26x14,13,27
26x15,14,27
26x16,15,27
26x17,16,27
26x18,17,27
26x19,18,27
26x20,19,27
26x21,20,27
26x22,21,27
26x23,22,27
27x14,13,28
27x15,14,28
27x17,16,28
27x18,17,28
27x19,18,28
27x20,19,28
27x21,20,28
27x22,21,28
