,cluster.init
7x15,
7x16,
7x17,
7x18,
8x13,
8x14,
8x15,
8x16,
8x17,
8x18,
8x19,
9x13,
9x14,
9x15,
9x16,
9x17,
9x18,
10x13,
10x15,
10x16,
10x17,
10x18,
11x12,
11x13,
11x14,
11x15,
11x16,
11x17,
12x12,
12x13,
12x14,
12x15,
12x16,
12x17,
13x11,
13x12,
13x13,
13x14,
13x15,
13x16,
13x17,
13x18,
14x7,
14x8,
14x9,
14x10,
14x11,
14x12,
14x13,
14x14,
14x15,
14x16,
14x17,
14x18,3
15x5,
15x6,
15x7,
15x8,
15x9,
15x10,
15x11,
15x12,
15x13,
15x14,
15x15,
15x16,
15x17,
15x18,3
16x3,
16x4,
16x5,
16x6,
16x7,
16x8,
16x9,
16x10,
16x11,
16x12,
16x13,
16x14,
16x15,
16x16,
16x17,
16x18,3
16x19,3
17x4,
17x5,
17x6,
17x7,
17x8,
17x9,
17x10,
17x11,
17x12,
17x13,
17x14,
17x15,
17x16,
17x17,
17x18,
17x19,3
17x20,3
17x21,
18x4,1
18x5,
18x6,
18x7,2
18x8,
18x9,
18x10,
18x11,
18x12,
18x13,
18x14,
18x15,
18x16,
18x17,
18x18,
18x19,
18x20,3
18x21,3
18x22,3
18x23,3
18x24,
19x4,
19x5,
19x6,
19x7,2
19x8,2
19x9,
19x10,
19x11,
19x12,
19x13,
19x14,
19x15,
19x16,
19x17,
19x18,
19x19,
19x20,
19x21,
19x22,
19x23,
19x24,
19x25,
19x26,
19x27,
19x28,
20x5,
20x6,
20x7,
20x8,2
20x9,2
20x10,
20x11,
20x12,
20x13,
20x14,
20x15,
20x16,
20x17,
20x18,
20x19,
20x20,
20x21,
20x22,
20x23,
20x24,
20x25,
20x26,
20x27,
20x28,
21x6,
21x7,
21x8,
21x9,2
21x10,2
21x11,2
21x12,2
21x13,2
21x14,
21x15,
21x16,
21x17,
21x18,
21x19,
21x20,
21x21,
21x22,
21x23,
21x24,
21x25,
21x26,
21x27,
21x28,
22x6,
22x7,
22x8,
22x9,
22x10,
22x11,
22x12,
22x13,
22x14,
22x15,
22x16,
22x17,
22x18,
22x19,
22x20,
22x21,
22x22,
22x23,
22x24,
22x25,
22x26,
22x27,
23x7,
23x8,
23x9,
23x10,
23x11,
23x12,
23x13,
23x14,
23x15,
23x16,
23x17,
23x18,
23x19,
23x20,
23x21,1
23x22,1
23x23,1
23x24,1
23x25,
23x26,
24x8,
24x9,
24x10,
24x11,
24x12,
24x13,
24x14,
24x15,
24x16,
24x17,
24x18,
24x19,
24x20,
24x21,1
24x22,
24x23,
24x24,1
24x25,1
25x9,
25x10,
25x11,
25x12,
25x13,
25x14,
25x15,0
25x16,0
25x17,0
25x18,0
25x19,0
25x20,
25x21,
25x22,
25x23,
25x24,
26x11,
26x12,
26x13,
26x14,
26x15,0
26x16,
26x17,
26x18,
26x19,0
26x20,
26x21,
26x22,
26x23,
27x14,
27x15,
27x17,
27x18,
27x19,
27x20,
27x21,
27x22,
