,cluster.init
7x15,0
7x16,
7x17,
7x18,
8x13,
8x14,0
8x15,0
8x16,
8x17,
8x18,
8x19,
9x13,
9x14,
9x15,0
9x16,
9x17,
9x18,
10x13,
10x15,
10x16,
10x17,
10x18,1
11x12,
11x13,
11x14,
11x15,
11x16,
11x17,
12x12,
12x13,
12x14,2
12x15,
12x16,
12x17,
13x11,
13x12,
13x13,2
13x14,2
13x15,
13x16,
13x17,
13x18,1
14x7,
14x8,
14x9,
14x10,
14x11,
14x12,2
14x13,2
14x14,2
14x15,
14x16,
14x17,
14x18,
15x5,
15x6,
15x7,
15x8,
15x9,
15x10,2
15x11,2
15x12,2
15x13,2
15x14,2
15x15,2
15x16,
15x17,
15x18,
16x3,
16x4,
16x5,
16x6,
16x7,
16x8,
16x9,
16x10,2
16x11,2
16x12,2
16x13,2
16x14,2
16x15,
16x16,
16x17,
16x18,
16x19,1
17x4,
17x5,
17x6,
17x7,2
17x8,
17x9,2
17x10,2
17x11,2
17x12,2
17x13,2
17x14,2
17x15,
17x16,
17x17,1
17x18,1
17x19,1
17x20,1
17x21,1
18x4,
18x5,
18x6,
18x7,2
18x8,2
18x9,2
18x10,2
18x11,2
18x12,2
18x13,2
18x14,
18x15,
18x16,
18x17,
18x18,1
18x19,1
18x20,1
18x21,
18x22,1
18x23,1
18x24,1
19x4,3
19x5,
19x6,
19x7,2
19x8,2
19x9,2
19x10,2
19x11,2
19x12,2
19x13,
19x14,
19x15,
19x16,
19x17,1
19x18,1
19x19,1
19x20,
19x21,
19x22,
19x23,1
19x24,1
19x25,1
19x26,1
19x27,1
19x28,1
20x5,
20x6,
20x7,2
20x8,2
20x9,2
20x10,2
20x11,2
20x12,
20x13,
20x14,
20x15,
20x16,
20x17,1
20x18,1
20x19,1
20x20,1
20x21,
20x22,
20x23,
20x24,1
20x25,1
20x26,1
20x27,1
20x28,1
21x6,2
21x7,2
21x8,2
21x9,2
21x10,2
21x11,2
21x12,2
21x13,
21x14,
21x15,
21x16,
21x17,1
21x18,1
21x19,1
21x20,1
21x21,
21x22,
21x23,
21x24,
21x25,
21x26,
21x27,
21x28,1
22x6,2
22x7,2
22x8,2
22x9,2
22x10,2
22x11,2
22x12,
22x13,
22x14,
22x15,
22x16,1
22x17,1
22x18,1
22x19,1
22x20,1
22x21,
22x22,
22x23,
22x24,
22x25,
22x26,
22x27,
23x7,2
23x8,
23x9,2
23x10,2
23x11,
23x12,
23x13,
23x14,1
23x15,1
23x16,1
23x17,1
23x18,1
23x19,1
23x20,
23x21,
23x22,3
23x23,3
23x24,
23x25,3
23x26,3
24x8,
24x9,
24x10,
24x11,
24x12,
24x13,
24x14,1
24x15,1
24x16,1
24x17,1
24x18,1
24x19,1
24x20,
24x21,
24x22,3
24x23,3
24x24,3
24x25,3
25x9,
25x10,
25x11,
25x12,
25x13,1
25x14,1
25x15,1
25x16,1
25x17,1
25x18,1
25x19,1
25x20,
25x21,
25x22,3
25x23,3
25x24,3
26x11,
26x12,
26x13,1
26x14,
26x15,1
26x16,1
26x17,1
26x18,1
26x19,1
26x20,
26x21,
26x22,3
26x23,3
27x14,
27x15,
27x17,1
27x18,1
27x19,1
27x20,1
27x21,
27x22,
